,Years,OpeningPrice,Year
614,2006-05-10,529.11,2006
615,2006-05-11,523.87,2006
616,2006-05-12,528.94,2006
617,2006-05-15,514.93,2006
618,2006-05-16,526.35,2006
619,2006-05-17,534.62,2006
620,2006-05-18,524.66,2006
621,2006-05-19,527.66,2006
622,2006-05-22,512.19,2006
623,2006-05-23,518.16,2006
624,2006-05-24,532.91,2006
625,2006-05-25,530.41,2006
626,2006-05-26,531.09,2006
627,2006-05-29,528.66,2006
628,2006-05-30,527.99,2006
629,2006-05-31,530.49,2006
630,2006-06-01,526.3,2006
631,2006-06-02,523.98,2006
632,2006-06-05,524.69,2006
633,2006-06-06,530.79,2006
634,2006-06-07,528.98,2006
635,2006-06-08,520.2,2006
636,2006-06-09,516.69,2006
637,2006-06-12,529.44,2006
638,2006-06-13,530.05,2006
639,2006-06-14,526.65,2006
640,2006-06-15,527.97,2006
641,2006-06-16,529.08,2006
642,2006-06-19,528.65,2006
643,2006-06-20,527.42,2006
644,2006-06-21,526.35,2006
645,2006-06-22,529.05,2006
646,2006-06-23,529.12,2006
647,2006-06-26,527.19,2006
648,2006-06-27,528.53,2006
649,2006-06-28,529.8,2006
650,2006-06-29,522.91,2006
651,2006-06-30,525.88,2006
652,2006-07-03,528.5,2006
653,2006-07-04,529.23,2006
654,2006-07-05,530.5,2006
655,2006-07-06,526.74,2006
656,2006-07-07,525.98,2006
657,2006-07-10,528.86,2006
658,2006-07-11,526.62,2006
659,2006-07-12,529.04,2006
660,2006-07-13,516.59,2006
661,2006-07-14,517.5,2006
662,2006-07-17,528.13,2006
663,2006-07-18,529.12,2006
664,2006-07-19,523.86,2006
665,2006-07-20,528.17,2006
666,2006-07-21,527.29,2006
667,2006-07-24,527.13,2006
668,2006-07-25,530.51,2006
669,2006-07-26,527.56,2006
670,2006-07-27,529.92,2006
671,2006-07-28,524.69,2006
672,2006-07-31,528.03,2006
673,2006-08-01,526.37,2006
674,2006-08-02,529.37,2006
675,2006-08-03,526.63,2006
676,2006-08-04,524.25,2006
677,2006-08-07,530.51,2006
678,2006-08-08,529.67,2006
679,2006-08-09,529.68,2006
680,2006-08-10,531.54,2006
681,2006-08-11,530.02,2006
682,2006-08-14,528.1,2006
683,2006-08-15,528.15,2006
684,2006-08-16,526.04,2006
685,2006-08-17,529.99,2006
686,2006-08-18,528.56,2006
687,2006-08-21,528.63,2006
688,2006-08-22,527.81,2006
689,2006-08-23,527.89,2006
690,2006-08-24,527.98,2006
691,2006-08-25,527.91,2006
692,2006-08-28,528.2,2006
693,2006-08-29,529.78,2006
694,2006-08-30,527.49,2006
695,2006-08-31,528.16,2006
696,2006-09-01,528.52,2006
697,2006-09-04,528.2,2006
698,2006-09-05,528.21,2006
699,2006-09-06,528.01,2006
700,2006-09-07,529.33,2006
